imdb_title_id,rank,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0245429,47,Sen to Chihiro no kamikakushi,Sen to Chihiro no kamikakushi,2001,2003-09-12,"Animation, Adventure, Family",125,Japan,"Japanese, English",Hayao Miyazaki,Hayao Miyazaki,Tokuma Shoten,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Ryûnosuke Kamiki, Yumi Tamai, Yô Ôizumi, Koba Hayashi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Shigeru Wakita, Shirô Saitô","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",8.6,577019,"$19,000,000","$13,750,644","$347,742,810",96,1092,275
tt0058182,48,A Hard Day's Night,A Hard Day's Night,1964,1964-07-24,"Comedy, Music, Musical",87,UK,"English, German, French",Richard Lester,Alun Owen,Walter Shenson Films,"The Beatles, John Lennon, Paul McCartney, George Harrison, Ringo Starr, Wilfrid Brambell, Norman Rossington, John Junkin, Victor Spinetti, Anna Quayle, Deryck Guyler, Richard Vernon, Edward Malin, Robin Ray, Lionel Blair","Over two ""typical"" days in the life of",7.6,37610,"$560,000","$1,480,356","$2,360,561",96,239,85
tt0382932,49,Ratatouille,Ratatouille,2007,2007-10-12,"Animation, Adventure, Comedy",111,USA,"English, French","Brad Bird, Jan Pinkava","Brad Bird, Jan Pinkava",Walt Disney Pictures,"Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy, Peter Sohn, Peter O'Toole, Brad Garrett, Janeane Garofalo, Will Arnett, Julius Callahan, James Remar, John Ratzenberger, Teddy Newton, Tony Fucile, Jake Steinfeld",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,8,595590,"$150,000,000","$206,445,654","$623,722,818",96,693,332
tt0073440,50,Nashville,Nashville,1975,1976-01-16,"Comedy, Drama, Music",160,USA,English,Robert Altman,Joan Tewkesbury,ABC Entertainment,"David Arkin, Barbara Baxley, Ned Beatty, Karen Black, Ronee Blakley, Timothy Brown, Keith Carradine, Geraldine Chaplin, Robert DoQui, Shelley Duvall, Allen Garfield, Henry Gibson, Scott Glenn, Jeff Goldblum, Barbara Harris","Over the course of a few hectic days, numerous interrelated people prepare for a political convention as secrets and lies are surfaced and revealed.",7.7,21679,"$2,200,000","$9,984,123","$9,984,123",96,173,103
tt0089881,51,Ran,Ran,1985,1985-06-01,"Action, Drama",162,"Japan, France",Japanese,Akira Kurosawa,"Akira Kurosawa, Hideo Oguni",Greenwich Film Productions,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû, Mieko Harada, Yoshiko Miyazaki, Hisashi Igawa, Pîtâ, Masayuki Yui, Kazuo Katô, Norio Matsui, Toshiya Ito, Kenji Kodama, Takashi Watanabe, Mansai Nomura","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",8.2,102216,"$11,500,000","$4,135,750","$4,160,924",96,262,155
tt0050083,52,12 Angry Men,12 Angry Men,1957,1957-04-10,Drama,96,USA,English,Sidney Lumet,"Reginald Rose, Reginald Rose",Orion-Nova Productions,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Henry Fonda, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,8.9,617540,"$350,000",,$576,96,1366,213
tt0070379,53,Mean Streets,Mean Streets,1973,1977-09-30,"Crime, Drama, Thriller",112,USA,"English, Italian",Martin Scorsese,"Martin Scorsese, Mardik Martin",Warner Bros.,"Robert De Niro, Harvey Keitel, David Proval, Amy Robinson, Richard Romanus, Cesare Danova, Victor Argo, George Memmoli, Lenny Scaletta, Jeannie Bell, Murray Moston, David Carradine, Robert Carradine, Lois Walden, Harry Northup",A small-time hood aspires to work his way up the ranks of a local mob.,7.3,88695,"$500,000","$32,645","$41,131",96,264,128
tt2024544,54,12 Years a Slave,12 Years a Slave,2013,2014-01-10,"Biography, Drama, History",134,"USA, UK",English,Steve McQueen,"John Ridley, Solomon Northup",Regency Enterprises,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt, Ashley Dyke, Kelsey Scott, Quvenzhané Wallis, Cameron Zeigler, Tony Bentley, Scoot McNairy, Taran Killam, Christopher Berry, Bill Camp, Mister Mackey Jr., Chris Chalk","In the antebellum United States,",8.1,591906,"$20,000,000","$56,671,993","$187,733,202",96,814,609
tt1454468,55,Gravity,Gravity,2013,2013-11-07,"Drama, Sci-Fi, Thriller",91,"UK, USA","English, Greenlandic",Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón",Warner Bros.,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen, Phaldut Sharma, Amy Warren, Basher Savage",Two astronauts work together to survive after an accident leaves them stranded in space.,7.7,725663,"$100,000,000","$274,092,705","$723,192,705",96,2027,772
tt0027977,56,Modern Times,Modern Times,1936,1936-10-16,"Comedy, Drama, Family",87,USA,English,Charles Chaplin,Charles Chaplin,Charles Chaplin Productions,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,8.5,197969,"$1,500,000","$163,577","$445,226",96,262,146
